City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020
רהט,64649,0,6.19,7.73,10.83,10.83,10.83,15.47,20.11,29.39,30.94,52.59,55.69,55.69,60.33,64.97,72.7,72.7,61.87,58.78,61.87,61.87,60.33,55.69,52.59,48,53,51,51, 40 , 29 
ביתר עילית,59240,0,118.16,148.55,162.05,163.74,173.87,231.26,248.14,271.78,298.78,349.43,354.49,369.68,378.12,393.32,406.82,430.45,339.3,305.54,276.84,273.46,224.51,199.19,190.75,182,162,159,160, 106 , 100 
הוד השרון,59171,0,49.01,49.01,50.7,50.7,55.77,59.15,60.84,60.84,60.84,60.84,60.84,60.84,62.53,62.53,69.29,69.29,21.97,18.59,16.9,16.9,15.21,13.52,11.83,12,12,12,12, 8 , 8 
נהריה,58750,0,44.26,44.26,44.26,45.96,45.96,47.66,47.66,47.66,51.06,51.06,52.77,52.77,52.77,54.47,61.28,61.28,30.64,22.13,22.13,22.13,18.72,15.32,11.91,12,9,9,9, 7 , 7 
קרית אתא,57108,0,28.02,28.02,28.02,28.02,29.77,33.27,33.27,35.02,36.77,36.77,36.77,36.77,36.77,36.77,38.52,38.52,15.76,12.26,12.26,10.51,10.51,10.51,10.51,11,9,9,7, 7 , 5 
אילת,56568,0,17.68,17.68,21.21,21.21,24.75,28.28,31.82,35.36,35.36,38.89,40.66,40.66,40.66,42.43,37.12,37.12,17.68,10.61,8.84,8.84,7.07,10.61,10.61,11,9,9,9, 9 , 5 
קרית גת,55400,0,46.93,46.93,46.93,48.74,57.76,57.76,61.37,63.18,66.79,68.59,68.59,68.59,68.59,70.4,84.84,86.64,55.96,50.54,50.54,46.93,41.52,39.71,39.71,38,38,40,40, 32 , 31 
אום אל-פחם,55324,0,23.5,28.92,34.34,34.34,39.77,50.61,57.84,86.76,86.76,99.41,104.84,104.84,104.84,106.64,130.14,131.95,101.22,103.03,95.8,93.99,86.76,83.15,83.15,81,70,69,65, 47 , 40 
גבעתיים,55123,0,48.98,50.8,52.61,52.61,52.61,54.42,59.87,63.49,65.31,65.31,65.31,68.94,68.94,70.75,67.12,67.12,34.47,23.58,25.4,23.58,23.58,23.58,21.77,18,16,15,15, 18 , 16 
ראש העין,53965,0,38.91,44.47,48.18,50.03,55.59,57.44,63,63,66.71,66.71,68.56,70.42,70.42,75.98,83.39,83.39,48.18,50.03,50.03,48.18,46.33,42.62,42.62,43,43,46,43, 37 , 37 
